participant,age,sex,question1,aid,attention,customStyles,description,comments
12,24,Female,6,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
8,22,Male,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,I don't have.
10,23,Male,2,"No, I did not use any aid","No, I was able to concentrate",NA,NA,"Nope, pretty fun, a bit hard and a bit mundane but it is what it is"
4,33,Male,3,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
18,29,Male,1,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
6,23,Female,6,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
14,21,Female,8,"No, I did not use any aid","No, I was able to concentrate",NA,NA,It was good.
11,22,Female,6,"No, I did not use any aid","No, I was able to concentrate",NA,NA,no
5,31,Male,9,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
3,23,Female,3,"No, I did not use any aid","No, I was able to concentrate",NA,NA,It was an interesting experinment!
17,34,Female,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,"It was good, although my only comment is that some of the icons are a little hard to read/understand, but perhaps that's the point!"
7,24,Male,3,"No, I did not use any aid","No, I was able to concentrate",NA,NA,no
1,34,Male,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
13,35,Female,2,"No, I did not use any aid","No, I was able to concentrate",NA,NA,no thanks
16,32,Female,8,"No, I did not use any aid","No, I was able to concentrate",NA,NA,no
2,20,Male,8,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
9,22,Male,6,"No, I did not use any aid","No, I was able to concentrate",NA,NA,"No, it was very hard but fair"
15,27,Female,4,"No, I did not use any aid","No, I was able to concentrate",NA,NA,I really enjoyed the experiment I would love to do it again in the future
